STARTTRAVELDATE,STARTREGION,ENDREGION,NUMVISITS
2016-03-01 04:30:00,ANG MO KIO_0,JURONG WEST_0,1
2016-03-01 04:30:00,ANG MO KIO_0,NOVENA_0,1
2016-03-01 04:30:00,ANG MO KIO_0,PIONEER_0,2
2016-03-01 04:30:00,ANG MO KIO_0,SEMBAWANG_0,1
2016-03-01 04:30:00,ANG MO KIO_0,WOODLANDS_0,1
2016-03-01 04:30:00,ANG MO KIO_0,YISHUN_0,2
2016-03-01 04:30:00,BUKIT PANJANG_0,ANG MO KIO_0,3
2016-03-01 04:30:00,BUKIT PANJANG_0,BUKIT PANJANG_0,8
2016-03-01 04:30:00,BUKIT PANJANG_0,CHOA CHU KANG_0,4
2016-03-01 04:30:00,BUKIT PANJANG_0,CLEMENTI_0,2
2016-03-01 04:30:00,BUKIT PANJANG_0,JURONG EAST_2,1
2016-03-01 04:30:00,BUKIT PANJANG_0,QUEENSTOWN_0,1
2016-03-01 04:30:00,BUKIT PANJANG_0,SUNGEI KADUT_0,1
2016-03-01 04:30:00,BUKIT PANJANG_0,WOODLANDS_0,4
2016-03-01 04:30:00,BUKIT PANJANG_0,YISHUN_0,1
2016-03-01 04:30:00,CHOA CHU KANG_0,BUKIT PANJANG_0,1
2016-03-01 04:30:00,CHOA CHU KANG_0,CHOA CHU KANG_0,1
2016-03-01 04:30:00,CHOA CHU KANG_0,YISHUN_0,1
2016-03-01 04:30:00,JURONG EAST_2,BEDOK_0,1
2016-03-01 04:30:00,JURONG WEST_0,JURONG WEST_0,1
2016-03-01 04:30:00,JURONG WEST_0,PIONEER_0,1
2016-03-01 04:30:00,YISHUN_0,BUKIT BATOK_0,1
2016-03-01 05:00:00,ANG MO KIO_0,BUKIT BATOK_0,2
2016-03-01 05:00:00,ANG MO KIO_0,CLEMENTI_0,1
2016-03-01 05:00:00,ANG MO KIO_0,DOWNTOWN CORE_0,12
2016-03-01 05:00:00,ANG MO KIO_0,GEYLANG_0,1
2016-03-01 05:00:00,ANG MO KIO_0,JURONG EAST_2,5
2016-03-01 05:00:00,ANG MO KIO_0,JURONG WEST_0,2
2016-03-01 05:00:00,ANG MO KIO_0,MUSEUM_0,1
2016-03-01 05:00:00,ANG MO KIO_0,NEWTON_0,3
2016-03-01 05:00:00,ANG MO KIO_0,NOVENA_0,6
2016-03-01 05:00:00,ANG MO KIO_0,ORCHARD_0,3
2016-03-01 05:00:00,ANG MO KIO_0,OUTRAM_0,1
2016-03-01 05:00:00,ANG MO KIO_0,PIONEER_0,6
2016-03-01 05:00:00,ANG MO KIO_0,QUEENSTOWN_0,1
2016-03-01 05:00:00,ANG MO KIO_0,SEMBAWANG_0,1
2016-03-01 05:00:00,ANG MO KIO_0,SERANGOON_0,1
2016-03-01 05:00:00,ANG MO KIO_0,SINGAPORE RIVER_0,1
2016-03-01 05:00:00,ANG MO KIO_0,TAMPINES_0,1
2016-03-01 05:00:00,ANG MO KIO_0,TOA PAYOH_0,6
2016-03-01 05:00:00,ANG MO KIO_0,WOODLANDS_0,8
2016-03-01 05:00:00,ANG MO KIO_0,YISHUN_0,7
2016-03-01 05:00:00,BEDOK_0,BUKIT MERAH_0,1
2016-03-01 05:00:00,BEDOK_0,CHANGI_0,1
